,min_time,Number of DCs,Camden,Modesto,Fixed_Den_Pitt,Fixed_Plant_Const,cost,Pitt?
1,1,13,14185686.0,2869003.0,False,False,19891788.270000003,True
1,1,14,14185686.0,2869003.0,False,False,19891788.270000003,True
1,1,15,14185686.0,2869003.0,False,False,19891788.270000003,True
1,5,2,12432942.0,4621747.0,True,False,12274705.619999997,True
1,5,3,14062520.0,2992169.0,True,False,11727497.8,True
1,5,4,14062520.0,2992169.0,True,False,11497627.86,True
1,5,5,14473475.0,2581214.0,True,False,11346083.409999998,True
1,5,6,14473475.0,2581214.0,True,False,11319594.009999998,True
1,5,7,14473475.0,2581214.0,True,False,11298514.349999998,True
1,5,8,14473475.0,2581214.0,True,False,11284697.869999997,True
1,5,9,14473475.0,2581214.0,True,False,11271344.569999998,True
1,5,10,14473475.0,2581214.0,True,False,11259626.239999998,True
1,5,11,14473475.0,2581214.0,True,False,11251448.839999998,True
1,5,12,14473475.0,2581214.0,True,False,11250145.299999997,True
1,5,13,14473475.0,2581214.0,True,False,11250145.299999997,True
1,5,14,14473475.0,2581214.0,True,False,11250145.299999997,True
1,5,15,14473475.0,2581214.0,True,False,11250145.3,True
1,4,2,12432942.0,4621747.0,True,False,12274705.619999997,True
1,4,3,14062520.0,2992169.0,True,False,11727497.799999999,True
1,4,4,14062520.0,2992169.0,True,False,11497627.859999998,True
1,4,5,14473475.0,2581214.0,True,False,11346083.409999996,True
1,4,6,14473475.0,2581214.0,True,False,11319594.009999998,True
1,4,7,14473475.0,2581214.0,True,False,11298514.349999996,True
1,4,8,14473475.0,2581214.0,True,False,11284697.869999997,True
1,4,9,14473475.0,2581214.0,True,False,11271344.569999997,True
1,4,10,14473475.0,2581214.0,True,False,11259626.239999996,True
1,4,11,14473475.0,2581214.0,True,False,11251448.839999998,True
1,4,12,14473475.0,2581214.0,True,False,11250145.299999997,True
1,4,13,14473475.0,2581214.0,True,False,11250145.299999997,True
1,4,14,14473475.0,2581214.0,True,False,11250145.299999997,True
1,4,15,14473475.0,2581214.0,True,False,11250145.299999997,True
1,3,2,12432942.0,4621747.0,True,False,12523636.149999997,True
1,3,3,13855371.0,3199318.0,True,False,11982287.799999999,True
1,3,4,14178739.0,2875950.0,True,False,11602629.599999998,True
1,3,5,14353163.0,2701526.0,True,False,11387131.819999997,True
1,3,6,14365800.0,2688889.0,True,False,11351519.609999996,True
1,3,7,14365800.0,2688889.0,True,False,11325030.209999997,True
1,3,8,14365800.0,2688889.0,True,False,11311213.729999997,True
1,3,9,14365800.0,2688889.0,True,False,11297860.429999998,True
1,3,10,14365800.0,2688889.0,True,False,11286142.099999998,True
1,3,11,14365800.0,2688889.0,True,False,11277964.7,True
1,3,12,14365800.0,2688889.0,True,False,11276661.159999996,True
1,3,13,14365800.0,2688889.0,True,False,11276661.159999996,True
1,3,14,14365800.0,2688889.0,True,False,11276661.159999996,True
1,3,15,14365800.0,2688889.0,True,False,11276661.16,True
1,2,2,11712073.0,5342616.0,True,False,18982917.38,True
1,2,3,14049050.0,3005639.0,True,False,15825096.87,True
1,2,4,14062173.0,2992516.0,True,False,15122483.279999997,True
1,2,5,14151515.0,2903174.0,True,False,14411405.559999999,True
1,2,6,14151515.0,2903174.0,True,False,14312542.699999996,True
1,2,7,14151515.0,2903174.0,True,False,14279536.589999996,True
1,2,8,14151515.0,2903174.0,True,False,14253794.879999999,True
1,2,9,14151515.0,2903174.0,True,False,14234492.279999997,True
1,2,10,14151515.0,2903174.0,True,False,14222773.949999997,True
1,2,11,14151515.0,2903174.0,True,False,14212061.95,True
1,2,12,14151515.0,2903174.0,True,False,14207370.27,True
1,2,13,14151515.0,2903174.0,True,False,14207370.27,True
1,2,14,14151515.0,2903174.0,True,False,14207370.27,True
1,2,15,14178465.0,2876224.0,True,False,14207370.269999998,True
1,1,2,11825652.0,5229037.0,True,False,29391705.150000006,True
1,1,3,12985772.0,4068917.0,True,False,26306308.34,True
1,1,4,14051371.0,3003318.0,True,False,24037212.749999996,True
1,1,5,14197913.0,2856776.0,True,False,21859219.66,True
1,1,6,14197913.0,2856776.0,True,False,20752246.349999998,True
1,1,7,14197913.0,2856776.0,True,False,20297011.560000002,True
1,1,8,14197913.0,2856776.0,True,False,20100864.24,True
1,1,9,14212636.0,2842053.0,True,False,19987693.42,True
1,1,10,14212636.0,2842053.0,True,False,19913964.58,True
1,1,11,14212636.0,2842053.0,True,False,19896115.490000002,True
1,1,12,14185686.0,2869003.0,True,False,19892761.07,True
1,1,13,14212636.0,2842053.0,True,False,19891788.27,True
1,1,14,14212636.0,2842053.0,True,False,19891788.27,True
1,1,15,14212636.0,2842053.0,True,False,19891788.27,True
